1308	1311	0.012	-0.939	0.011	-0.066	0.496
1308	1311	0.011	-0.959	0.008	0.536	0.647
1308	1311	0.008	-0.977	0.007	-0.251	0.847
1311	1314	0.002	0.868	0.031	0.124	0.740
1311	1314	0.015	0.844	0.022	0.157	0.270
1311	1314	0.019	0.807	0.022	0.130	0.160
1311	1314	0.021	0.764	0.024	0.332	0.111
1311	1314	0.023	0.718	0.025	0.395	0.086
1311	1314	0.025	0.668	0.027	0.358	0.071
1311	1314	0.027	0.615	0.028	0.443	0.062
1311	1314	0.028	0.558	0.030	0.495	0.056
1311	1314	0.030	0.499	0.030	0.377	0.051
1311	1314	0.031	0.438	0.032	0.466	0.048
1311	1314	0.032	0.374	0.033	0.526	0.046
1311	1314	0.033	0.309	0.033	0.555	0.044
1311	1314	0.034	0.242	0.034	0.533	0.042
1311	1314	0.034	0.173	0.034	0.526	0.042
1311	1314	0.035	0.105	0.035	0.590	0.042
1311	1314	0.035	0.035	0.035	0.560	0.042
1311	1314	0.035	-0.034	0.034	0.613	0.043
1311	1314	0.035	-0.104	0.034	0.602	0.045
1311	1314	0.035	-0.173	0.034	0.566	0.048
1311	1314	0.034	-0.242	0.034	0.684	0.048
1311	1314	0.033	-0.309	0.033	0.642	0.050
1311	1314	0.033	-0.374	0.032	0.672	0.050
1311	1314	0.032	-0.438	0.031	0.636	0.053
1311	1314	0.031	-0.499	0.030	0.714	0.055
1311	1314	0.029	-0.559	0.029	0.670	0.060
1311	1314	0.028	-0.615	0.027	0.649	0.066
1311	1314	0.027	-0.668	0.025	0.690	0.077
1311	1314	0.025	-0.718	0.023	0.689	0.096
1311	1314	0.024	-0.764	0.021	0.602	0.117
1311	1314	0.022	-0.807	0.019	0.650	0.153
1311	1314	0.019	-0.847	0.018	0.499	0.200
1311	1314	0.017	-0.882	0.015	0.385	0.251
1311	1314	0.015	-0.912	0.013	0.477	0.391
1311	1314	0.013	-0.938	0.011	0.064	0.445
1311	1314	0.011	-0.960	0.009	0.415	0.584
1311	1314	0.007	-0.978	0.008	-0.298	0.687
1314	1317	0.015	0.844	0.022	0.009	0.245
1314	1317	0.018	0.806	0.023	0.346	0.142
1314	1317	0.022	0.765	0.023	0.333	0.099
1314	1317	0.023	0.718	0.025	0.382	0.075
1314	1317	0.025	0.668	0.027	0.301	0.062
1314	1317	0.027	0.615	0.028	0.415	0.055
1314	1317	0.028	0.558	0.029	0.352	0.049
1314	1317	0.030	0.499	0.031	0.354	0.045
1314	1317	0.031	0.438	0.032	0.602	0.043
1314	1317	0.032	0.374	0.032	0.523	0.041
1314	1317	0.033	0.309	0.033	0.472	0.038
1314	1317	0.034	0.242	0.034	0.529	0.037
1314	1317	0.034	0.173	0.035	0.539	0.037
1314	1317	0.035	0.104	0.035	0.564	0.036
1314	1317	0.035	0.035	0.035	0.579	0.036
1314	1317	0.035	-0.034	0.034	0.571	0.038
1314	1317	0.035	-0.104	0.034	0.650	0.041
1314	1317	0.035	-0.173	0.034	0.724	0.042
1314	1317	0.034	-0.242	0.034	0.678	0.042
1314	1317	0.033	-0.309	0.033	0.733	0.042
1314	1317	0.032	-0.374	0.032	0.609	0.044
1314	1317	0.032	-0.438	0.031	0.665	0.046
1314	1317	0.031	-0.499	0.030	0.657	0.047
1314	1317	0.029	-0.558	0.029	0.621	0.052
1314	1317	0.028	-0.615	0.027	0.688	0.057
1314	1317	0.027	-0.668	0.025	0.543	0.067
1314	1317	0.026	-0.717	0.023	0.743	0.082
1314	1317	0.024	-0.764	0.021	0.780	0.106
1314	1317	0.022	-0.807	0.019	0.855	0.146
1314	1317	0.019	-0.847	0.018	0.726	0.181
1314	1317	0.017	-0.882	0.016	0.376	0.211
1314	1317	0.015	-0.913	0.014	0.513	0.319
